pathway	Ship-Ballast-100-02-01-17-SA-2-tank-6-uptake-3	Ship-Ballast-101-02-01-17-SA-2-tank-2-uptake-1	Ship-Ballast-102-02-01-17-SA-2-tank-2-uptake-2	Ship-Ballast-103-02-01-17-SA-2-tank-2-uptake-3	Ship-Ballast-110-02-05-17-SA-2-Dis6-1	Ship-Ballast-111-02-05-17-SA-2-Dis6-2	Ship-Ballast-112-02-05-17-SA-2-Dis6-3	Ship-Ballast-113-02-05-17-SA-2-Dis2B-1	Ship-Ballast-114-02-05-17-SA-2-Dis2B-2	Ship-Ballast-115-02-05-17-SA-2-Dis2B-3	Ship-Ballast-80-10-18-16-SA-1-UP-5-1	Ship-Ballast-81-10-18-16-SA-1-UP-5-2	Ship-Ballast-82-10-18-16-SA-1-UP-5-3	Ship-Ballast-83-10-17-16-SA-1-UP-6-1	Ship-Ballast-84-10-17-16-SA-1-UP-6-2	Ship-Ballast-85-10-17-16-SA-1-UP-6-3	Ship-Ballast-86-10-20-16-EX-Dis-5-1	Ship-Ballast-87-10-20-16-EX-Dis-5-2	Ship-Ballast-88-10-20-16-EX-Dis-5-3	Ship-Ballast-89-10-20-16-EX-UP-5-1	Ship-Ballast-90-10-20-16-EX-UP-5-2	Ship-Ballast-91-10-20-16-EX-UP-5-3	Ship-Ballast-92-10-23-16-SA-1-Dis-6-1	Ship-Ballast-93-10-23-16-SA-1-Dis-6-2	Ship-Ballast-94-10-23-16-SA-1-Dis-6-3	Ship-Ballast-95-10-23-16-SA-1-Dis-5-1	Ship-Ballast-96-10-23-16-SA-1-Dis-5-2	Ship-Ballast-97-10-23-16-SA-1-Dis-5-3	Ship-Ballast-98-02-01-17-SA-2-tank-6-uptake-1	Ship-Ballast-99-02-01-17-SA-2-tank-6-uptake-2
1CMET2-PWY	3278.004508	1996.445063	1748.736001	1668.799357	7820.801304	5852.077715	7108.840062	6965.657399	8205.680895	4729.166771	4614.367667	3858.946982	3697.775014	5102.07604	6074.19977	5755.285295	3967.073109	4415.689325	5308.137273	10572.03427	11052.48092	9089.548618	9331.198864	7914.136594	7200.333938	3568.661769	4422.477597	2852.93754	1911.785412	1535.901584
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	192.8840906	67.81850358	88.78697449	75.38238339	292.7278696	184.046525	217.0180885	132.3993319	183.3003946	173.3030164	612.5720747	407.2981632	437.0639068	18.37785905	28.56466698	26.37281958	176.2525642	122.7036615	261.4850758	0	45.93380184	25.99962578	0	0	0	0	0	0	112.9003313	114.3948415
AEROBACTINSYN-PWY	0	2.628571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29.97221551	33.76894485	9.599202012	0	0	0	0	0	0	1.761733228	0
ALL-CHORISMATE-PWY	244.0340295	392.1478437	226.2065305	375.4214995	0	0	0	0	0	89.02456005	2447.505761	2090.175045	2035.452688	1290.341729	1482.919931	1039.519853	0	0	0	3169.613394	3193.586487	2761.11048	0	0	0	0	0	0	221.7872357	196.3301249
ANAEROFRUCAT-PWY	2706.468981	1472.908574	1366.508242	1295.253922	3516.690174	2587.538116	3228.735456	3973.681015	4690.761719	2678.121117	2133.663919	1690.136608	1636.60048	385.0910687	335.6678544	287.4290143	1124.684123	1033.869486	1316.872941	2243.549796	1500.900527	1225.714262	544.4348416	250.552931	291.8730844	309.2727911	280.3987846	243.8115174	1490.47493	1106.217591
ANAGLYCOLYSIS-PWY	3421.944581	2090.952523	1892.192799	1785.708694	5325.365958	3768.183372	5178.430315	6018.700494	7135.274544	4051.350965	4512.4538	3807.545273	3650.945435	5127.312545	6078.658041	5875.034942	1459.782916	1256.220064	1730.81932	7944.215572	8425.517679	7169.696934	5811.910539	4779.071258	4727.298511	2856.035166	3537.628896	2216.832706	2011.069358	1564.32372
ARG???SYN	1411.664779	765.4762536	617.8618625	645.8723086	1967.233646	1487.733966	1837.193955	2151.529537	2448.955337	1522.211029	2166.043452	1841.835093	1782.932868	1325.231281	1479.434919	1175.143064	1017.855703	1088.269072	1487.110948	4836.568854	4594.266551	4251.308851	5043.726708	4195.928499	4017.864922	2534.309256	3128.508457	1940.417028	794.8067389	620.9499317
ARGDEG-PWY	0	4.653098576	0	0	0	0	0	0	0	0	315.261703	269.8049241	272.7999591	122.119621	160.5212857	0	184.6837375	496.3379231	589.1055233	0	0	0	168.3027572	237.8251034	0	0	0	0	3.097629089	0
ARGORNPROST-PWY	49.94396577	72.25965634	105.1608874	23.16072987	5517.221546	4228.791567	4788.673933	3793.599189	4413.343668	2569.100758	1288.847633	967.5723118	994.7059833	178.1617689	335.5277281	212.9470518	934.1530312	988.9467387	1363.347178	2981.87793	3480.755415	2634.840972	3247.756584	2719.33063	2323.245741	1477.186989	1763.168872	1227.618528	20.68189576	23.01244851
ARGSYN-PWY	2866.864652	1644.558151	1540.793015	1418.411024	8275.78179	6256.82342	7434.813038	6741.941722	7876.712356	4541.930199	4043.045489	3405.693483	3285.196051	5291.815938	6290.520541	6053.590496	3545.951544	3994.582931	4822.791618	10587.00783	10924.71432	8970.727868	9176.577152	7766.827118	6996.79749	3590.577007	4429.072133	2884.417803	1704.400029	1272.784876
ARGSYNBSUB-PWY	3051.33657	1814.425384	1532.534755	1562.708674	8802.521323	6667.772679	7897.795818	7186.350857	8396.366553	4842.063267	4033.215528	3424.97584	3306.966052	5351.637593	6359.371741	6095.49385	3914.516317	4423.029122	5327.220528	11685.48327	12073.55279	9917.50086	10013.04831	8461.36239	7700.741972	3800.829943	4686.765657	3042.891727	1751.943267	1389.766964
ARO-PWY	3362.084008	2047.848741	1777.439696	1734.566004	7991.765243	5999.044769	7224.574638	6896.846874	8099.865481	4670.317783	4678.400231	3939.485876	3782.810333	5231.233645	6205.047552	5941.016116	4163.041757	4629.239026	5557.670317	10174.04558	10462.46509	8566.149885	9261.350252	7871.775357	7135.413638	3570.55813	4429.966353	2871.256176	1971.066754	1541.383509
ASPASN-PWY	544.4972342	294.6901757	400.7654594	193.3751932	3518.475645	2393.512708	3498.236425	3909.541846	4606.940054	2711.108888	3106.815947	2619.340482	2587.353144	4894.713122	5828.683245	5702.657382	1317.823399	1353.860328	1731.142759	6974.445438	7277.19548	5890.751679	3948.491622	3272.929776	3190.730311	2146.406914	2655.594013	1634.544699	418.0994259	280.8938381
AST-PWY	80.93663948	65.2568267	0	0	5707.869781	4379.843433	5068.027552	4255.845356	4946.75259	2905.37354	2188.583257	1829.244549	1817.138216	4192.246805	5039.161047	4907.30594	3216.296054	3656.793459	4338.734339	3195.466414	3224.120757	2989.900093	8146.798867	6938.71281	6353.789512	2956.091108	3662.411726	2385.26674	37.73900347	31.0174025
BIOTIN-BIOSYNTHESIS-PWY	2531.150778	1406.177496	1274.092901	1232.311677	8803.004084	6626.285879	7984.937003	7678.171548	8985.759461	5194.236004	4678.693326	3924.186569	3800.82863	6425.312729	7642.07087	7427.225563	4555.866303	5062.684291	6051.790251	12632.59011	13181.10157	10923.44024	10111.98696	8606.604717	7854.296562	4176.27087	5186.883025	3337.883891	1431.406015	1054.100765
BRANCHED-CHAIN-AA-SYN-PWY	4942.050373	2924.101029	2607.854904	2430.227506	8759.931501	6514.108063	7993.132849	7984.921778	9454.25307	5447.983203	5640.306222	4736.980211	4534.572922	5945.52635	7049.014387	6759.530782	4297.197219	4722.661505	5688.798412	11363.86172	11650.97622	9499.628783	9368.426546	7941.206792	7233.455944	4074.584791	5035.865202	3244.8307	2901.008663	2261.361866
CALVIN-PWY	3615.972092	2166.803896	1956.683175	1884.182338	6816.628185	5091.360435	6285.617538	6378.70574	7494.186608	4282.891771	5317.550225	4471.611328	4314.919729	6727.49532	8014.60736	7784.499912	3364.526285	3695.322328	4443.420805	11261.61153	11621.53635	9529.814128	7601.909126	6430.729802	5909.481399	2936.347948	3620.768848	2328.763969	2078.900527	1635.883713
CATECHOL-ORTHO-CLEAVAGE-PWY	238.8375312	172.3237441	88.37623842	115.7731437	988.184647	750.3233646	773.1696347	519.9548327	732.6284842	524.2446487	534.0594048	387.5260723	413.9943187	120.2669836	120.4785795	152.9696061	1064.108758	1016.946449	1471.584433	25.34175048	16.45782599	12.484375	746.6561136	684.5463146	512.8279857	253.9934745	274.7999514	189.7841595	121.0934019	123.6940047
CENTFERM-PWY	158.912226	125.8832279	135.1675098	121.0931407	0	0	0	0	0	0	0	0	10.35678903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48.66467591	66.99428373
CHLOROPHYLL-SYN	0	50.49554132	34.03923308	132.892408	75.36579766	39.9925662	47.55667545	0	0	22.20047256	122.3252121	125.6756447	58.78076772	0	9.402384267	10.34953843	0	0	0	68.98360802	109.119383	23.71914412	0	0	0	0	0	0	0	0
COA-PWY	3198.784321	1984.073725	1720.367657	1642.504068	6585.19757	4932.790878	6029.870541	6054.44066	7117.9465	4088.502433	4116.27264	3500.306792	3317.344651	4602.756739	5466.804261	5241.308283	3266.218086	3643.843873	4371.05951	9229.690653	9514.320451	7804.116997	7505.945172	6367.258796	5790.41	2899	3581.87	2303.5	1885.190431	1484.157573
COBALSYN-PWY	1616.942113	770.8702886	674.3797773	674.0619388	6375.051608	4776.927362	5833.57704	5632.497168	6639.300745	3788.67002	2299.466925	1834.092179	1742.9448	857.0041182	902.7093613	724.4419407	3114.70704	3495.390228	4150.957909	8609.939083	9020.715945	7423.570686	4918.418178	4322.705773	3579.613607	2627.166786	3326.88546	2168.835929	850.5836352	700.6065991
CODH-PWY	72.38856382	15.35623397	15.22812519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COLANSYN-PWY	2528.114182	1516.40494	1319.535879	1316.160264	4966.988265	3535.443782	4553.673313	4914.061468	5860.076229	3349.88892	2769.148423	2368.880341	2232.643379	1245.020115	1301.388081	1103.894656	1637.931846	1596.561357	2013.356753	10073.69498	10405.2103	8322.161718	683.1737052	531.569513	493.9309326	1121.491213	1235.47681	822.7364974	1464.868528	1182.448432
COMPLETE-ARO-PWY	3568.148958	2172.166355	1889.26836	1841.299163	8385.716334	6294.03613	7589.045798	7271.824246	8540.620153	4921.819751	4944.510742	4165.582035	3998.093235	5529.767841	6560.446489	6281.002454	4359.132318	4849.700175	5821.026909	10851.55539	11163.65438	9143.984641	9727.03809	8266.409119	7494.729709	3802.23729	4717.170627	3055.094613	2093.057884	1637.521822
CRNFORCAT-PWY	218.3228817	47.66964627	71.06883843	159.0641668	0	0	0	0	0	0	60.55481702	159.5182826	75.3741128	0	29.13729408	0	119.2880913	86.11009528	102.5236972	432.6725999	289.6728378	232.4615602	16.27808438	10.58662047	34.14271432	121.7294463	103.5146315	63.89201006	125.5379785	137.865249
DAPLYSINESYN-PWY	3097.989548	1806.147856	1540.710978	1487.382035	7578.123721	5654.556023	6935.380863	6956.066125	8191.575427	4712.275679	4577.999275	3858.74731	3688.091078	5629.002011	6679.068819	6434.474799	3724.016067	4094.047043	4938.805752	11805.16633	12198.45104	10167.23649	9046.961722	7648.803359	7069.215367	4075.451554	5030.424208	3225.85469	1787.266834	1397.189952
DENITRIFICATION-PWY	665.6907637	362.1770942	308.7538964	333.9952632	31.85122305	29.20998017	30.96092888	0	0	0	220.1535427	242.5311967	179.0784405	135.1497174	93.15374365	116.1285067	240.6031732	242.3763773	380.0740788	208.0750759	276.7755485	235.0808406	547.5147664	487.7640548	408.5437856	94.06952842	87.75283019	56.09117083	444.8700107	299.5711282
DENOVOPURINE2-PWY	2406.116965	1380.9283	1183.181087	1185.792614	2738.133666	2169.877192	2647.590458	2572.542058	2799.823753	1831.854525	3746.170886	3171.742736	3112.524869	5037.217852	6004.781659	5788.494498	1958.712346	2071.161732	2818.926622	9392.393053	9714.147567	7925.197627	7342.32742	6180.698315	5767.380345	1955.920384	2218.506938	1338.160056	1398.941869	1042.407578
DHGLUCONATE-PYR-CAT-PWY	68.44186932	0	0	0	773.8299798	603.674524	625.6464813	596.5164602	753.4660185	432.5491514	30.59159902	0	0	131.6115862	165.4676431	0	0	196.9090516	215.5293634	0	0	0	345.5741944	348.67638	0	148.1391218	179.0594966	123.1028529	0	0
DTDPRHAMSYN-PWY	3586.650156	2119.000945	1962.884884	1729.530171	7978.9723	5907.196575	7441.317439	7714.090958	9101.435506	5204.437637	4798.479091	4016.884894	3845.147245	4905.04174	5766.559863	5505.700207	3645.194899	4044.571679	4907.2805	7830.578449	8053.885538	6552.228365	8911.911883	7543.564507	6930.156036	2204.819131	2688.827086	1719.379677	2119.115275	1611.399745
ECASYN-PWY	0	4.251221644	0	0	0	0	0	0	0	0	112.9828783	0	0	0	0	0	75.24061219	94.87118627	77.66932331	0	0	0	48.83149608	36.79024487	0	80.40366753	69.17961431	71.83701316	2.825657072	0
ENTBACSYN-PWY	102.0657898	111.561958	79.33291668	128.6507505	203.0977754	203.3407101	265.09894	140.7756808	178.8420475	103.8404196	862.9329193	789.9667468	683.2877156	131.6367362	149.2856589	96.29759098	0	0	0	3281.969028	3300.76384	3094.683873	0	0	0	0	0	0	70.54705381	57.08075324
FAO-PWY	4266.976083	2297.155	2013.93828	1855.022066	13842.16873	10465.49859	12347.83001	11544.47376	13531.85248	7864.642265	6774.892517	5586.907631	5484.961544	9241.030286	11014.15971	10803.00357	7358.320424	7992.211423	9680.27868	17638.24905	18534.94044	15180.54701	16685.19685	14194.83927	12998.5304	6006.429462	7432.527975	4815.433891	2393.266642	1876.31419
FASYN-ELONG-PWY	4829.813681	2754.508044	2510.165558	2455.925148	13186.79586	9858.21238	12072.8808	11716.4849	13646.57983	7962.316146	7568.613248	6428.36477	6156.426456	9819.641714	11628.32988	11263.59338	6560.789753	7236.992876	8707.876204	19335.78507	19973.6047	16546.48658	13945.9427	11878.6158	10786.5847	6484.971097	8066.630777	5204.058026	2767.091594	2213.935957
FASYN-INITIAL-PWY	3170.19193	1674.835019	1645.388243	1593.383524	10815.4391	8136.119458	9904.283719	9923.62471	11649.11773	6712.895984	6000.582767	5096.23046	4818.851705	7011.782392	8308.909661	7905.705921	5294.347989	5949.834584	7201.940905	13260.47407	13742.79705	11359.71006	11998.28861	10269.94093	9084.900732	4680.533915	5794.058666	3748.910416	1883.291695	1388.32132
FERMENTATION-PWY	2165.072495	1382.295428	1239.985445	1180.225927	7719.842037	5787.844081	7032.022716	6745.194353	7960.293088	4599.585603	4240.154525	3522.412411	3417.155382	6532.882574	7832.063757	7582.056591	3725.969717	4191.085004	5014.898462	9670.079239	10116.24232	8208.334307	8721.476116	7431.266795	6717.969782	3165.22778	3928.24612	2556.507415	1307.854421	1032.805783
FOLSYN-PWY	3130.013084	1900.094932	1676.435245	1590.753624	7844.346201	5899.262151	7098.741071	6881.534351	8089.280618	4649.83565	4579.276016	3852.113682	3698.484958	5598.671239	6658.131648	6452.554781	4016.393446	4431.088192	5321.426913	11369.72567	11777.78665	9686.702553	9286.427029	7862.521369	7246.664484	3554.91166	4398.775545	2830.431516	1795.363488	1426.011097
FUC-RHAMCAT-PWY	0	9.190570808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.292612138	0
FUCCAT-PWY	5.943630408	52.51956043	24.00027199	64.0851178	0	0	0	0	0	0	24.90566458	24.74290985	22.3906357	0	0	0	0	0	0	42.84088322	41.96043956	0	0	0	0	0	0	0	10.40934658	24.19502064
GALACT-GLUCUROCAT-PWY	817.6571162	464.2032054	435.6024123	410.6060824	1189.82412	727.4742192	1274.126325	1820.683639	2209.05583	1262.492289	1224.177106	1022.252029	944.1891353	420.9973969	423.3421856	361.7355048	74.40863488	82.24799591	80.10077454	18.40745096	17.79645269	0	76.87642852	33.64309169	21.34814161	0	0	0	485.7086658	380.172438
GALACTARDEG-PWY	404.9706459	231.11334	210.0528948	196.8370538	0	0	0	0	0	0	61.40017665	52.27370562	59.18626326	19.96765243	0	11.4589079	9.952081997	0	10.95999683	28.08710614	26.41583574	26.47775811	0	7.982345681	0	0	0	0	234.8940637	151.8259577
GALACTUROCAT-PWY	1485.456659	930.95509	901.078965	847.4028833	1375.797687	858.0467942	1455.155663	2021.979445	2435.367578	1398.285174	1502.295151	1291.155221	1171.396069	476.0057592	488.6117725	405.5454451	143.8447745	153.6540171	154.8298327	447.6131253	383.8158773	134.198743	291.8853161	226.8193662	215.7994068	91.1785755	73.67891468	69.40136691	918.710807	693.6971572
GALLATE-DEGRADATION-I-PWY	498.635139	264.8944003	225.7301246	188.0692903	522.6033952	389.5776005	373.2700163	246.3031402	350.6061012	251.3313203	353.5743368	227.7315615	230.8142857	0	12.79069767	0	196.67	161	212.42	8.75	11.28	11	35.99767424	0	16	99	125.7954545	90	255.4971877	203.8520305
GALLATE-DEGRADATION-II-PWY	206.9073637	71.20972417	69.06004253	64.6299769	594.7079893	440.8313907	430.8663793	250.7122618	372.1165018	283.4473519	45.117015	0	22.90284094	0	12.79069767	0	37.94799467	32.37988827	44.33440148	8.75	11.28	11	34.5031247	0	16	99	125.7954545	90	85.2496696	80.20794607
GLCMANNANAUT-PWY	139.1356598	70.75303704	34.44596425	14.51252368	0	0	0	0	0	0	45.18500438	0	10.77886645	0	9.203762378	0	0	0	0	31.03893474	18.66061136	0	0	0	0	0	0	0	102.69776	93.73573986
GLUCARDEG-PWY	425.2635536	231.6319334	215.9489959	213.508837	0	0	0	0	0	0	61.88202271	52.81565235	60.07196073	19.82207804	0	11.63213842	9.962205735	0	10.96442956	28.08710614	26.41583574	26.47775811	0	7.979373364	0	0	0	0	240.8210941	145.4703752
GLUCARGALACTSUPER-PWY	404.9706459	231.11334	210.0528948	196.8370538	0	0	0	0	0	0	61.40017665	52.27370562	59.18626326	19.96765243	0	11.4589079	9.952081997	0	10.95999683	28.08710614	26.41583574	26.47775811	0	7.982345681	0	0	0	0	234.8940637	151.8259577
GLUCONEO-PWY	3311.257037	1959.763354	1769.862805	1661.118204	6918.850543	5192.471023	6282.915191	6231.102722	7317.286347	4203.62728	4650.762434	3937.508868	3761.994821	6055.019485	7221.078421	7012.235303	3532.432754	3890.285727	4692.576408	11252.65983	11727.42535	9595.891549	8111.231561	6866.739485	6307.265443	3210.495006	3973.208708	2546.323857	1917.213357	1509.709436
GLUCOSE1PMETAB-PWY	722.152964	407.8192689	298.1448488	348.1267264	7010.41235	5394.812924	6237.16462	5316.707293	6176.223917	3574.920339	2489.618295	2054.808743	2053.902664	4318.096437	5122.911008	4984.432372	3396.872685	3843.386547	4627.548948	8681.23108	9011.049911	7482.276002	8857.585696	7548.480648	6849.986346	3256.257128	4060.443008	2634.415682	378.6773554	320.9963998
GLUCUROCAT-PWY	736.5921516	407.0436419	372.358005	362.339433	1308.551724	803.1109001	1396.093375	2010.125236	2442.608484	1393.825363	1268.142186	1043.460058	969.1373289	452.109458	446.2231066	386.7242067	68.40323883	78.59567099	71.68721894	20.48474636	31.55558613	52.71292177	120.1414562	33.05246141	44.09120644	0	10.78107882	0	432.8105605	345.4385649
GLUTORN-PWY	3209.716207	1940.71037	1704.449222	1660.551805	7787.4023	5861.38384	7017.572892	6678.369604	7860.271492	4537.004357	4059.520248	3406.553725	3255.537482	4746.493757	5610.734718	5293.856543	3988.881071	4573.721101	5476.812527	10642.66398	10957.75838	9035.507446	9395.239471	8035.254588	7050.241769	3583.840285	4449.573035	2868.058352	1866.244364	1466.482642
GLYCOCAT-PWY	1145.29236	740.8189655	767.6094142	786.3753702	1335.684711	1033.708775	1029.623231	740.0800254	932.766749	594.9485683	2310.194353	1959.836608	1924.732091	4232.86539	5046.43647	4906.310452	1163.191715	1244.729771	1781.975711	7544.818412	7884.140642	6560.469043	5524.286365	4622.654298	4257.587828	2388.438829	2908.665629	1843.408915	838.9240141	651.4477336
GLYCOGENSYNTH-PWY	1843.212911	1198.425063	1107.215331	1091.413667	2967.567662	1989.219897	2706.273088	3068.634705	3775.382644	2217.376618	3327.945355	2803.141691	2745.138369	5067.083437	6040.245186	5803.165002	1055.181494	1145.160373	1627.899254	8253.520097	8642.315237	7163.665222	5142.272613	4256.959403	4022.851115	2095.468047	2526.561261	1570.180518	1121.755916	960.3153193
GLYCOL-GLYOXDEG-PWY	0	3.425683501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.772590853	0
GLYCOLYSIS	3155.92698	1899.33292	1651.951184	1588.599996	6030.191603	4381.040246	5661.417145	5997.198649	7071.087845	4034.759079	4368.0273	3639.058669	3535.117081	5681.62147	6783.00019	6578.78789	2097.537828	1922.885623	2564.531878	11160.82267	11662.94966	9519.840012	6898.034524	5743.524884	5509.481843	3035.352188	3762.853144	2382.524769	1768.200376	1408.438232
GLYCOLYSIS-E-D	2608.386356	1402.630004	1374.29691	1272.849141	6185.955876	4543.987483	5735.704253	5774.70836	6801.229278	3902.474585	3797.029739	3139.492174	3038.965926	4033.523402	4507.43311	3785.572946	2345.478658	2243.833864	2928.708049	9445.412964	9910.876826	8186.071486	7269.981906	6084.616621	5742.513095	3048.665316	3775.74433	2409.41242	1482.486362	1136.158256
GLYCOLYSIS-TCA-GLYOX-BYPASS	2940.595718	1617.787776	1489.686027	1382.830814	6295.449256	4590.930176	5923.676056	6349.990014	7483.575206	4291.689736	4243.366099	3526.049218	3399.781654	4556.964047	5221.798955	4786.330943	2537.346414	2461.780971	3182.100836	9655.885427	9968.118484	8190.800981	7621.925934	6363.754624	6042.270891	3195.309488	3947.273998	2521.416276	1668.94909	1239.322762
GLYOXYLATE-BYPASS	2353.329554	1410.337959	1174.120328	1057.643233	6772.895444	5182.78212	6048.373165	5588.719205	6555.826528	3835.220044	3536.480756	2981.73718	2810.772674	4369.740656	5204.141565	5032.187189	3385.38535	3788.54254	4578.524281	10554.72803	10892.41548	8976.632281	8529.401039	7232.316468	6572.382851	3115.834931	3844.890029	2479.538826	1368.443978	1088.54443
HCAMHPDEG-PWY	0	2.994863014	20.96580725	0	0	0	0	0	0	0	0	0	0	0	0	0	15.20596493	15.33859511	17.39060851	0	0	0	0	0	0	0	0	0	3.187907308	0
HEME-BIOSYNTHESIS-II	2794.496309	1540.74401	1458.318579	1332.054941	6397.314332	4790.242271	5857.553325	5861.92	6891.67	3949.825949	4064.431096	3425.348043	3222.977797	4532.760964	5389.025844	5232.428609	3259.968563	3572.268062	4295.816446	9136.268126	9372.922854	7735.741205	7384.734941	6245.085408	5791.638042	2901.896293	3585.265317	2305.308232	1580.198274	1244.381741
HEMESYN2-PWY	3252.601285	1829.015998	1718.970346	1580.093783	7378.904182	5527.56117	6748.041671	6754.307075	7937.812525	4555.465843	4746.375998	3978.75318	3781.040681	5382.376218	6394.789081	6257.615764	3691.20394	4023.540749	4846.683388	10714.60577	11033.91708	9095.239704	8410.348263	7100.671448	6623.833783	3314.924344	4096.082941	2632.486995	1853.29598	1469.147612
HEXITOLDEGSUPER-PWY	0	30.88757215	0	0	0	0	0	0	0	0	0	0	0	0	37.50050337	0	0	0	0	0	0	0	0	0	0	0	0	0	25.15634347	0
HISDEG-PWY	2332.244029	1374.246679	1218.057923	1040.577487	6887.137166	5179.818669	6342.588817	5928.896946	6986.190033	4112.920015	3674.371433	3079.627041	3014.889197	5069.593476	6078.415496	5804.936179	3148.732221	3504.036255	4240.30306	8432.949719	8815.712307	7307.84747	8217.031613	6996.108105	6354.467294	3147.343511	3921.769353	2536.595983	1393.385575	1010.366248
HISTSYN-PWY	3308.993388	2001.298566	1766.555909	1644.976696	7368.207779	5530.16884	6723.946668	6643.452302	7799.410581	4468.939976	4324.80013	3664.222232	3472.347621	4649.896335	5494.106731	5310.780331	3724.238485	4108.05893	4922.838585	9735.285837	10012.85815	8232.533928	8258.572794	6998.062093	6431.373806	3159.94102	3910.769457	2524.081585	1901.481554	1495.317001
HOMOSER-METSYN-PWY	784.399302	717.1633696	468.2538653	592.3979035	332.4487273	233.6028164	244.5846308	367.2636627	397.3490645	209.3067519	1773.066377	1566.975156	1544.244062	4187.7587	5080.997592	4840.491949	292.9786121	529.1377892	592.8799904	8882.323242	9359.444184	7767.10275	4202.555781	3486.108608	3295.705697	2054.320734	2440.915731	1540.45072	498.2440397	407.0003953
HSERMETANA-PWY	3805.630053	2192.437464	1888.444437	1872.025729	7384.118061	5437.828501	6901.944948	7261.214576	8577.595035	4936.166642	4134.114191	3454.92255	3275.810231	4617.317579	5492.763625	5314.92902	3486.764311	3844.031165	4596.807345	8614.514994	8761.428747	7051.969906	8100.325301	6845.904311	6240.35264	3122.739654	3877.852168	2492.516858	2167.293264	1674.003354
ILEUSYN-PWY	6043.67097	3512.064265	3117.649148	2827.225299	9100.437055	6753.527151	8353.280339	8549.142672	10138.19409	5858.146863	5966.461102	4947.158103	4744.91124	5864.968842	6957.412493	6692.049877	4366.951045	4750.026961	5753.632216	11745.20742	12028.75465	9760.981172	9476.390762	8030.349152	7284.401001	4180.73829	5156.399578	3331.888852	3571.907746	2735.940072
KDO-NAGLIPASYN-PWY	0	15.86690949	0	0	0	0	0	0	0	0	3706.784276	3142.392109	3062.148458	4833.090231	5751.354005	5564.531462	0	0	0	8241.888366	8563.97973	6962.194572	1653.192568	1451.838013	1291.052605	446.2054846	502.010776	335.0753659	10.58445527	0
KETOGLUCONMET-PWY	394.3364328	179.2078733	144.0599002	121.5807595	0	0	0	0	0	0	434.6741964	274.8821487	271.2631952	0	0	0	46.76427997	27.62153029	64.42288197	0	0	0	33.23872242	25.53022933	11.81620932	0	0	0	206.8620299	97.52336988
LACTOSECAT-PWY	0	0	7.885733618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LEU-DEG2-PWY	2787.522216	1435.318557	1255.574375	1238.665347	7798.474768	5872.465352	7135.207151	6893.18918	8097.898606	4674.098731	4594.401296	3804.172409	3659.692378	5151.709777	6126.914702	5880.857627	4105.377887	4511.213301	5412.709925	3710.039527	3976.809608	3389.505269	9003.361194	7653.984591	6990.848334	3632.743808	4516.396162	2919.450061	1593.458499	1183.88181
LIPASYN-PWY	118.2680462	102.392781	50.56413514	177.8327998	133.2110643	117.3371091	113.4007219	67.79265824	108.0482462	62.49786459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58.76464619	0
MET-SAM-PWY	1390.862089	1124.547064	813.7628156	934.6456672	730.762424	514.7456371	544.2588915	800.3995104	871.04337	461.1092198	2882.681797	2508.393741	2459.567186	5664.756903	6816.523002	6562.031547	611.9609063	1037.379431	1175.064875	11405.99873	11927.22138	9875.709953	5982.92717	4999.502781	4688.241747	3005.511648	3624.302457	2295.403647	864.6388695	691.6851184
METH-ACETATE-PWY	60.04872894	0	0	15.81432896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.80582395
METHGLYUT-PWY	0	4.279551258	0	0	0	0	0	0	0	0	77.63852684	69.67154691	54.56743247	23.32986683	34.5695628	26.51758934	266.0485976	295.6645653	419.2738468	19.70149486	12.49562058	14.15994825	897.0787931	811.7684334	589.6993163	169.4244445	165.309648	106.7345074	2.215174636	0
METHYLGALLATE-DEGRADATION-PWY	526.0678598	294.5242714	252.3681505	216.3530221	648.2002108	483.3147749	463.6557412	306.2411763	435.3498252	311.5629833	435.5462653	281.3956748	285.1740331	0	15.98489447	0	244.6059916	200.5045233	264.4296554	10.93675177	14.09881897	13.74864807	44.98283992	0	19.99647742	123.4614297	156.8694844	112.2013979	273.8573537	225.2986003
NAD-BIOSYNTHESIS-II	755.2759438	291.5683183	299.2439811	320.1836181	843.8880372	582.0912928	741.9928836	763.9838605	964.4173809	566.0965521	685.5387326	586.0468241	434.3971425	85.44760787	133.8663129	87.50745267	1193.609305	1207.253904	1515.848795	0	0	0	4243.487284	3469.661386	3582.160491	506.7414623	518.2919298	275.9722702	363.5436942	308.2527784
